level,group,metric,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,ill_posed_dataset
dataset,SVAMP,output_words,300,130.14666666666668,107.93333333333334,-22.213333333333335,-28.263666666666666,-16.04641666666667,-17.067923368507326,2.0164454545779155e-11,-0.4496086996086996,,,MGCoT,1.2036147287015464e-10,True,False
dataset,StrategyQA,output_words,300,174.70333333333335,133.41333333333333,-41.29,-48.260083333333334,-34.416333333333334,-23.634351567419053,4.348704866374498e-24,-0.6800045808520385,,,MGCoT,1.287885671964755e-22,True,False
dataset,aqua,output_words,300,168.57,145.35666666666665,-23.213333333333335,-28.87075,-17.649500000000007,-13.770738170097488,5.694869515883758e-13,-0.48249836169299254,,,MGCoT,4.176237644981422e-12,True,False
dataset,asdiv,output_words,300,93.95333333333333,84.93333333333334,-9.02,-15.133416666666665,-2.593166666666669,-9.600510891932165,0.005375086746814686,-0.18666393666393666,,,MGCoT,0.009363838902821964,True,False
dataset,clutrr,output_words,300,83.02666666666667,70.62,-12.406666666666666,-20.44333333333333,-4.813083333333337,-14.942990203950535,0.0013988642396740973,-0.2206605222734255,,,MGCoT,0.0026995625677921175,True,False
dataset,date,output_words,300,91.96,57.36666666666667,-34.593333333333334,-41.60008333333334,-27.868833333333352,-37.61780484268523,4.784594017854109e-17,-0.5617924208528235,,,MGCoT,8.567761380808521e-16,True,False
dataset,gsm8k,output_words,300,157.87333333333333,137.78666666666666,-20.086666666666666,-25.276833333333332,-15.046166666666673,-12.72328026688062,2.7509829773922e-11,-0.4458002847264592,,,MGCoT,1.6294283789169184e-10,True,False
dataset,saycan,output_words,300,133.47666666666666,100.22333333333333,-33.25333333333333,-42.06008333333334,-24.036583333333333,-24.913218290337888,2.1258832502597114e-10,-0.43484062268346924,,,MGCoT,1.1692357876428414e-09,True,True
dataset,MultiArith,truncated,300,0.013333333333333334,0.35333333333333333,0.34,0.2866666666666667,0.39666666666666667,2550.0,1.3982559545042434e-28,0.9622641509433962,2.0,104.0,SCoT,4.893895840764852e-27,True,False
dataset,QASports,truncated,300,0.23666666666666666,0.29,0.05333333333333334,-0.013333333333333334,0.12,22.535211267605636,0.14478233933005072,0.1509433962264151,45.0,61.0,SCoT,0.20159566235829848,False,True
dataset,SVAMP,truncated,300,0.11333333333333333,0.37333333333333335,0.26,0.2,0.32,229.41176470588238,1.4016007077149398e-15,0.75,13.0,91.0,SCoT,2.011462891673813e-14,True,False
dataset,StrategyQA,truncated,300,0.5033333333333333,0.5466666666666666,0.043333333333333335,-0.03333333333333333,0.11666666666666667,8.60927152317881,0.29807066339153954,0.09774436090225563,60.0,73.0,SCoT,0.380620913451883,False,False
dataset,aqua,truncated,300,0.6133333333333333,0.62,0.006666666666666667,-0.06,0.07666666666666666,1.0869565217391306,0.9226851594412753,0.018867924528301886,52.0,54.0,SCoT,0.9881329245754965,False,False
dataset,asdiv,truncated,300,0.023333333333333334,0.3433333333333333,0.32,0.26666666666666666,0.37333333333333335,1371.4285714285713,6.979604631123946e-26,0.9411764705882353,3.0,99.0,SCoT,2.239289819152266e-24,True,False
dataset,clutrr,truncated,300,0.01,0.4066666666666667,0.39666666666666667,0.33666666666666667,0.45666666666666667,3966.6666666666665,1.4344792661954539e-33,0.967479674796748,2.0,121.0,SCoT,6.49734726453235e-32,True,False
dataset,date,truncated,300,0.06666666666666667,0.22666666666666666,0.16,0.10991666666666669,0.21,240.0,1.3936467518320873e-08,0.6486486486486487,13.0,61.0,SCoT,5.286246300052744e-08,True,False
dataset,gsm8k,truncated,300,0.36,0.49,0.13,0.06,0.2,36.111111111111114,0.0004453106769171578,0.3277310924369748,40.0,79.0,SCoT,0.0009168160995353247,True,False
dataset,saycan,truncated,300,0.2,0.4266666666666667,0.22666666666666666,0.15333333333333332,0.29333333333333333,113.33333333333331,1.7803381639606352e-09,0.5230769230769231,31.0,99.0,SCoT,7.744973933614063e-09,True,True
dataset,MultiArith,delta_time_seconds,300,90.53467833333333,85.94168133333334,-4.592996999999999,-10.555297516666666,1.3949252249999882,-5.0731908309094145,0.25770277350078186,-0.07539313399778516,,,MGCoT,0.33575488256447045,False,False
dataset,QASports,delta_time_seconds,300,104.729129,70.72668666666667,-34.002442333333335,-41.82455015,-26.25866960833334,-32.467034394350144,1.8187773629444225e-12,-0.46945736434108526,,,MGCoT,1.2616743869073922e-11,True,True
dataset,SVAMP,delta_time_seconds,300,101.11434333333334,95.52864066666666,-5.585702666666665,-11.25478135833333,0.16829327499999638,-5.524144728164677,0.08345061998925252,-0.11530454042081949,,,MGCoT,0.12216155397666242,False,False
